model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc
DTC_Gini_Depth_10,,up,0.998808750465613,0.8984416980118216,0.7794871794871795,0.8347478781827259,0.985081592661067
DTC_Gini_Depth_10,,down,0.998808750465613,0.8984416980118216,0.7794871794871795,0.8347478781827259,0.985081592661067
DTC_Gini_Full,0.5,up,0.9983552838754838,0.788020589611605,0.7850815850815851,0.7865483418963102,0.8921316331510813
DTC_Entropy_Full,1.0,up,0.9983228934047603,0.7775743707093822,0.7920745920745921,0.7847575057736721,0.895598330334427
DTC_Entropy_Full,0.5,up,0.9983174949929731,0.7767612076852699,0.7916083916083916,0.7841145232048026,0.8953634236581052
DTC_Gini_Full,0.2,up,0.9983282918165476,0.7817423540315107,0.7864801864801865,0.7841041134092493,0.8928146758613869
DTC_Entropy_Full,0.05,up,0.9983012997576113,0.7701304543409807,0.7981351981351982,0.7838827838827839,0.898606052824459
DTC_Gini_Full,1.0,up,0.9983336902283348,0.7857477730895452,0.7813519813519814,0.7835437120149603,0.8902632183998361
DTC_Gini_Full,0.1,up,0.9982851045222495,0.7704174228675136,0.7916083916083916,0.7808691653253621,0.89534716566911
DTC_Entropy_Full,0.1,up,0.9982725082280793,0.769195820081781,0.7892773892773893,0.7791072250345145,0.894179858060387
DTC_Entropy_Full,0.2,up,0.9981915320512705,0.7506596306068601,0.7958041958041958,0.7725729803122878,0.8973899712487509
DTC_Entropy_Full,,up,0.9981429463451853,0.741851368970013,0.7958041958041958,0.7678812415654521,0.897365584265258
DTC_Entropy_Full,,down,0.9981429463451853,0.741851368970013,0.7958041958041958,0.7678812415654521,0.897365584265258
DTC_Gini_Full,,up,0.9980889622273127,0.7315091919623771,0.7976689976689977,0.7631578947368421,0.8982672756628903
DTC_Gini_Full,,down,0.9980889622273127,0.7315091919623771,0.7976689976689977,0.7631578947368421,0.8982672756628903
DTC_Gini_Full,0.05,up,0.998072766991951,0.7353198948290973,0.7822843822843822,0.7580754461260447,0.8905966452892428
DTC_Gini_Depth_10,0.05,up,0.996867121692798,0.5587550901687027,0.8955710955710956,0.6881604871932653,0.9852348203123347
DTC_Gini_Depth_10,0.05,down,0.9965072275736478,0.5287648054145516,0.8741258741258742,0.6589351607801792,0.9815707584694207
DTC_Gini_Depth_10,0.1,up,0.9944684273886623,0.40416752630493086,0.9132867132867133,0.5603546910755148,0.978897217869424
DTC_Gini_Depth_10,0.1,down,0.994463028976875,0.40351966873706,0.9086247086247087,0.558853046594982,0.988179287392762
DTC_Entropy_Full,0.05,down,0.9944990183887901,0.4026888604353393,0.8797202797202798,0.5524813350900307,0.9373320225713944
DTC_Gini_Full,0.05,down,0.994290279799683,0.39255852842809363,0.8755244755244755,0.5420695627074614,0.9351374757611323
DTC_Gini_Depth_10,0.2,up,0.9937828290916813,0.3758529188779378,0.9244755244755245,0.5344293221937744,0.9825576272441553
DTC_Entropy_Full,0.1,down,0.9920283452608243,0.3137127017772705,0.896969696969697,0.46484658129983086,0.9446831887248163
DTC_Gini_Full,0.1,down,0.9914813061997161,0.29933343667648427,0.9002331002331002,0.44927873429502097,0.9460339884355462
DTC_Gini_Depth_10,0.2,down,0.9911825940808214,0.29528904740674694,0.9263403263403264,0.447825107054316,0.9829972553095387
DTC_Gini_Depth_10,0.5,up,0.9879003597141721,0.23393375944218478,0.9384615384615385,0.37451162790697673,0.9778947016750815
DTC_Entropy_Full,0.2,down,0.9868782604157856,0.217042330951072,0.9202797202797203,0.3512455516014235,0.9537080190490574
DTC_Gini_Full,0.2,down,0.9866029414146358,0.21357544314742757,0.9212121212121213,0.3467579187505484,0.9540342201655776
DTC_Gini_Depth_10,0.5,down,0.9826225124568352,0.17592752372735115,0.9505827505827505,0.29690571532580995,0.9818639058858072
DTC_Gini_Depth_10,1.0,up,0.9820232887484502,0.1709035992952429,0.9496503496503497,0.28967576791808874,0.9835314492037892
DTC_Gini_Full,0.5,down,0.9781868174383096,0.14492134671506868,0.9491841491841492,0.25145115474867236,0.9637416733810351
DTC_Entropy_Full,0.5,down,0.9776451767889887,0.1418815331010453,0.9491841491841492,0.24686268566232192,0.9634698036761719
DTC_Gini_Depth_10,1.0,down,0.9724051184141626,0.11962164032760411,0.9668997668997669,0.21290355694708207,0.9847321646428902
DTC_Gini_Full,1.0,down,0.9702799436405809,0.11161558834657587,0.9627039627039627,0.2000387484258452,0.9665066309561896
DTC_Entropy_Full,1.0,down,0.9699812315216864,0.11070644314712656,0.9636363636363636,0.19859723289777095,0.9668210901917687
