model,ratio,resample_type,accuracy,precision,recall,f1
LogisticRegression,,up,0.9960051752774334,0.0,0.0,0.0
LogisticRegression,,down,0.9960051752774334,0.0,0.0,0.0
LogisticRegression,0.05,up,0.9947311500956418,0.27461139896373055,0.22237762237762237,0.24574961360123648
LogisticRegression,0.05,down,0.9934571249138503,0.21337946943483277,0.25874125874125875,0.23388116308470291
LogisticRegression,0.1,up,0.9927535319109118,0.2295977011494253,0.3724941724941725,0.2840888888888889
LogisticRegression,0.1,down,0.9917584246714617,0.21197066477407145,0.4177156177156177,0.2812303829252982
LogisticRegression,0.2,up,0.985093185584801,0.13013616098325098,0.5034965034965035,0.20681731137495213
LogisticRegression,0.2,down,0.9867199070033597,0.1460446247464503,0.5034965034965035,0.22641509433962265
LogisticRegression,0.3,up,0.9798495282687834,0.10443065629642576,0.5571095571095571,0.17589049161024434
LogisticRegression,0.3,down,0.9797667526213788,0.10647867831502465,0.5738927738927739,0.1796293594046403
LogisticRegression,0.5,up,0.9618602207230633,0.06387362637362637,0.6503496503496503,0.11632270168855535
LogisticRegression,0.5,down,0.9586697593567972,0.059152305542617606,0.6512820512820513,0.10845431255337319
LogisticRegression,1.0,up,0.8150252195803994,0.014996000424051427,0.7254079254079254,0.02938454856193228
LogisticRegression,1.0,down,0.8188346988316038,0.015327404375885409,0.7263403263403263,0.030021292380025627
