model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc
RF_Full_Depth,0.1,up,0.9988429404069323,0.9497005988023952,0.7393939393939394,0.8314547837483617,0.9809908632459909
RF_Full_Depth,0.3,up,0.9988303441127621,0.9446757882212968,0.7403263403263404,0.8301097752221641,0.9817856687877679
RF_Full_Depth,0.05,up,0.9988321435833578,0.9479041916167664,0.737995337995338,0.8298820445609436,0.9790743053090997
RF_Full_Depth,0.2,up,0.9988249457009748,0.9521212121212121,0.7324009324009324,0.827931488801054,0.9822253027483043
RF_Full_Depth,0.5,up,0.9988195472891875,0.9471471471471471,0.7351981351981351,0.8278215223097113,0.9821231026966845
RF_Full_Depth,1.0,up,0.998808750465613,0.9442780107849011,0.7347319347319348,0.8264289459884635,0.9825690280484038
RF_Full_Depth,,up,0.9987709615831023,0.961489898989899,0.71002331002331,0.8168409761330115,0.977062508232686
RF_Full_Depth,,down,0.9987709615831023,0.961489898989899,0.71002331002331,0.8168409761330115,0.977062508232686
RF_Full_Depth,0.05,down,0.998288703463441,0.7639257294429708,0.8055944055944056,0.7842069434989789,0.9902918962123333
RF_Depth_10,0.05,up,0.9982635108751006,0.8155080213903744,0.710955710955711,0.7596513075965131,0.98720474117151
RF_Depth_10,0.1,up,0.9977182712845881,0.6760337213970293,0.7850815850815851,0.72648835202761,0.9884936565167212
RF_Depth_10,0.05,down,0.9978892209911844,0.7303317535545024,0.7184149184149184,0.7243243243243244,0.9864451330600391
RF_Depth_10,,up,0.9982851045222495,0.973015873015873,0.5715617715617716,0.7201174743024963,0.9849189622412353
RF_Depth_10,,down,0.9982851045222495,0.973015873015873,0.5715617715617716,0.7201174743024963,0.9849189622412353
RF_Full_Depth,0.1,down,0.9971658338116925,0.5965447154471545,0.820979020979021,0.6909947027663331,0.991473813693788
RF_Depth_10,0.1,down,0.9967825465747977,0.5591255382577012,0.786946386946387,0.6537567776917118,0.987442472468142
RF_Depth_10,0.2,up,0.9963650693965835,0.5187293976625712,0.806993006993007,0.6315213425757022,0.9891679541890714
RF_Depth_10,0.3,up,0.9957136610409217,0.46817082997582593,0.8125874125874126,0.5940695296523517,0.9900455630457401
RF_Full_Depth,0.2,down,0.9949056987434297,0.4224683544303797,0.8713286713286713,0.5690363830111128,0.9913863494185187
RF_Depth_10,0.2,down,0.994983075979047,0.42190915715326693,0.8097902097902098,0.5547748323219419,0.9892934872550967
RF_Depth_10,0.3,down,0.9931206239124449,0.3415785498489426,0.8433566433566434,0.48622496976212876,0.9889294683128931
RF_Depth_10,0.5,up,0.9926473631457625,0.32850326912882133,0.8666666666666667,0.47642234751409535,0.9900793995379362
RF_Full_Depth,0.3,down,0.9924350256154639,0.324706282989954,0.889044289044289,0.47567972062858566,0.9916982968979631
RF_Depth_10,0.5,down,0.9876430354189797,0.22469682835820895,0.8983682983682983,0.3594813916612256,0.9887861083050886
RF_Full_Depth,0.5,down,0.9864553848257842,0.2126228107646305,0.9282051282051282,0.345990094708489,0.9920177560652005
RF_Depth_10,1.0,up,0.984414785170203,0.18757192174913695,0.9118881118881119,0.3111429253161537,0.9910565640491539
RF_Full_Depth,1.0,down,0.9762757796656224,0.1352672966364898,0.9543123543123543,0.23694872091677277,0.9927132480747717
RF_Depth_10,1.0,down,0.9711490879383285,0.11228364042434394,0.9375291375291376,0.2005484916479681,0.9893278728386591
