ratio,resample_type,accuracy,precision,recall,f1,roc_auc
0.05,up,0.9953663632159419,0.3921765295887663,0.3645687645687646,0.37786905049528874,0.836073380098569
0.05,down,0.9953267748628354,0.3864321608040201,0.3585081585081585,0.3719467956469166,0.83619494320033
0.1,up,0.9933329614427435,0.267995240928019,0.42004662004662,0.3272199019429817,0.8382134679092267
0.1,down,0.9932681805012965,0.2651559741024132,0.42004662004662,0.3250947140537615,0.8372152265427599
0.2,down,0.9875494629480007,0.15132924335378323,0.482983682983683,0.23045267489711935,0.8397006768216398
0.2,up,0.9872885397116169,0.14788833214030064,0.48158508158508156,0.22628696604600218,0.8400516245259676
0.3,up,0.9807384667430842,0.10928512736236648,0.558041958041958,0.18277599633531838,0.8420600264155055
0.3,down,0.9804793429772961,0.10793765204072439,0.5585081585081585,0.1809121111446693,0.841227206402594
0.5,down,0.9587849254749253,0.06195399873391011,0.6843822843822844,0.11362229102167183,0.844410332845122
0.5,up,0.9576422616466236,0.0600838953775292,0.6811188811188811,0.11042666565889422,0.8455710783067198
,up,0.9961833228664126,0.5517241379310345,0.059673659673659674,0.1076987799747581,0.8330706234325262
,down,0.9961833228664126,0.5517241379310345,0.059673659673659674,0.1076987799747581,0.8330706234325262
1.0,down,0.8128226675712006,0.014765701656616463,0.7226107226107226,0.02894004742433578,0.8508702698126334
1.0,up,0.805326073069303,0.014202072586334857,0.7226107226107226,0.027856655044750368,0.8514671902370747
